taxon_oid,Add_Date,MG_ plate,Annotation_group,Genome Name / Sample Name,IMG Genome ID ,IMG Submission ID,ITS_PID,KO_count_both,Genome_size_assembl,KEGG_Count_assemb,cmd,path,code
3300004003,2/22/15,1,1,China_Galinas_PWA_D1,3300004003,57737,1047926,2146972,812493233,435348,jamo fetch filtered spid 1047926 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.CCGTCC.anqdp.fastq.gz,54b842c90d8785565d472914
3300004005,2/22/15,1,1,China_Galinas_PWA_D2,3300004005,57744,1047935,2407468,972358201,498315,jamo fetch filtered spid 1047935 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.GTGAAA.anqdp.fastq.gz,54b849e60d8785565d472931
3300004021,2/23/15,1,1,China_Galinas_PWB_D1,3300004021,57739,1047938,2025750,804550212,409650,jamo fetch filtered spid 1047938 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.GTGGCC.anqdp.fastq.gz,54b83ebc0d8785565d472906
3300004004,2/22/15,1,1,China_Galinas_PWB_D2,3300004004,57745,1047944,2480090,1009470002,495310,jamo fetch filtered spid 1047944 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.CGTACG.anqdp.fastq.gz,54b849f20d8785565d472932
3300004001,2/21/15,1,1,China_Galinas_PWC_D1,3300004001,57740,1047941,2343258,858411544,426368,jamo fetch filtered spid 1047941 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.GTTTCG.anqdp.fastq.gz,54b845640d8785565d472922
3300004018,2/23/15,1,1,China_Galinas_PWC_D2,3300004018,57735,1047947,1973737,782249384,412713,jamo fetch filtered spid 1047947 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.GAGTGG.anqdp.fastq.gz,54b83ec60d8785565d472907
3300004006,2/22/15,1,1,Goodyear_PhragA_D2,3300004006,57741,1047950,2126652,726294395,422080,jamo fetch filtered spid 1047950 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/72/8572.1.104365.GGTAGC.anqdp.fastq.gz,54b83ed60d8785565d472908
3300003990,2/21/15,1,1,Goodyear_PhragC_D2,3300003990,57684,1047956,2108834,732462921,436743,jamo fetch filtered spid 1047956 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.ATGAGC.anqdp.fastq.gz,548672900d87850ddcd6d0bd
3300004014,2/22/15,1,1,Joice_CattailNLA_D2,3300004014,57693,1047959,3098179,1108941251,633874,jamo fetch filtered spid 1047959 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.ATTCCT.anqdp.fastq.gz,54867dab0d87850ddcd6d0cf
3300004000,2/21/15,1,1,Joice_CattailNLB_D2,3300004000,57687,1047965,2551603,844446966,501362,jamo fetch filtered spid 1047965 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CAACTA.anqdp.fastq.gz,548679840d87850ddcd6d0c9
3300004027,2/24/15,1,1,Joice_CattailNLC_D2,3300004027,57685,1047968,2503471,836433314,505338,jamo fetch filtered spid 1047968 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CACCGG.anqdp.fastq.gz,548672be0d87850ddcd6d0bf
3300004266,04/12/15,1,1,Joice_ThreeSqA_D1,3300004266,60018,1047962,3913985,793250739,594891,jamo fetch filtered spid 1047962 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CAAAAG.anqdp.fastq.gz,5486797d0d87850ddcd6d0c8
3300004011,2/22/15,1,1,Joice_ThreeSqA_D2,3300004011,57686,1047971,2630089,884090384,529626,jamo fetch filtered spid 1047971 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CACGAT.anqdp.fastq.gz,548672dd0d87850ddcd6d0c0
3300003991,2/21/15,1,1,Joice_ThreeSqB_D1,3300003991,57688,1047974,2030906,660321903,392808,jamo fetch filtered spid 1047974 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CACTCA.anqdp.fastq.gz,5486798a0d87850ddcd6d0ca
3300004015,2/23/15,1,1,Joice_ThreeSqC_D1,3300004015,57689,1047977,3256820,1068333578,641993,jamo fetch filtered spid 1047977 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CAGGCG.anqdp.fastq.gz,548679900d87850ddcd6d0cb
3300004012,2/22/15,1,1,Joice_ThreeSqC_D2,3300004012,57690,1047983,2680853,895924677,542538,jamo fetch filtered spid 1047983 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CATTTT.anqdp.fastq.gz,548679960d87850ddcd6d0cc
3300004013,2/22/15,1,1,MayberryNW_CattailA_D2,3300004013,57691,1047986,2829508,936064784,577138,jamo fetch filtered spid 1047986 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CCAACA.anqdp.fastq.gz,5486799e0d87850ddcd6d0cd
3300003996,2/21/15,1,1,MayberryNW_CattailB_D2,3300003996,57673,1047992,2429746,787167723,493157,jamo fetch filtered spid 1047992 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.CTAGCT.anqdp.fastq.gz,5484b3510d87850ddcd6c850
3300003997,2/21/15,1,1,MayberryNW_CattailC_D1,3300003997,57692,1047989,2328826,735940585,463801,jamo fetch filtered spid 1047989 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/50/8550.1.104089.CGGAAT.anqdp.fastq.gz,548679a50d87850ddcd6d0ce
3300003993,2/21/15,1,1,MayberryNW_CattailC_D2,3300003993,57674,1047995,2406815,760555806,468821,jamo fetch filtered spid 1047995 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.CTATAC.anqdp.fastq.gz,5484b61e0d87850ddcd6c852
3300003999,2/21/15,1,1,MayberryNW_TuleA_D2,3300003999,57675,1047998,2511660,820356259,494977,jamo fetch filtered spid 1047998 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.CTCAGA.anqdp.fastq.gz,5484b8ef0d87850ddcd6c854
3300003992,2/21/15,1,1,MayberryNW_TuleB_D1,3300003992,57676,1048001,2095896,645203325,413458,jamo fetch filtered spid 1048001 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.GACGAC.anqdp.fastq.gz,5484bbbd0d87850ddcd6c856
3300003987,2/20/15,1,1,MayberryNW_TuleB_D2,3300003987,57677,1048004,2217755,720769548,440503,jamo fetch filtered spid 1048004 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.TAATCG.anqdp.fastq.gz,5484be830d87850ddcd6c857
3300003998,2/21/15,1,1,MayberryNW_TuleC_D2,3300003998,57678,1048007,2619599,796160344,502058,jamo fetch filtered spid 1048007 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.TACAGC.anqdp.fastq.gz,5484c42d0d87850ddcd6c85e
3300003989,2/20/15,1,1,Muzzi_CordA_D2,3300003989,57679,1048010,2164089,788892924,417920,jamo fetch filtered spid 1048010 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.TATAAT.anqdp.fastq.gz,5484c6f20d87850ddcd6c85f
3300003988,2/20/15,1,1,Muzzi_CordB_D2,3300003988,57681,1048016,2113817,756775692,405874,jamo fetch filtered spid 1048016 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.TCCCGA.anqdp.fastq.gz,5484e1b20d87850ddcd6c886
3300004007,2/22/15,1,1,Muzzi_CordC_D2,3300004007,57682,1048019,2581945,921212865,478935,jamo fetch filtered spid 1048019 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.TCGAAG.anqdp.fastq.gz,5484e7500d87850ddcd6c888
3300004010,2/22/15,1,1,Muzzi_PWA_D1,3300004010,57680,1048013,2591140,968325337,540270,jamo fetch filtered spid 1048013 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.TCATTC.anqdp.fastq.gz,5484cf780d87850ddcd6c866
3300004002,2/22/15,1,1,Muzzi_PWA_D2,3300004002,57683,1048022,2359177,944399426,456913,jamo fetch filtered spid 1048022 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/51/8551.1.104021.TCGGCA.anqdp.fastq.gz,5484ecea0d87850ddcd6c88d
3300004056,3/20/15,1,1,Muzzi_PWB_D1,3300004056,57934,1048025,3472565,745987756,525048,jamo fetch filtered spid 1048025 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AAACAT.anqdp.fastq.gz,54bb6b690d8785565d473b5e
3300004055,3/20/15,1,2,Muzzi_PWB_D2,3300004055,57935,1048031,3996241,984055726,588084,jamo fetch filtered spid 1048031 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AAATGC.anqdp.fastq.gz,54bb6b740d8785565d473b5f
3300004064,3/21/15,1,2,Muzzi_PWC_D1,3300004064,57941,1048028,4162208,938308745,620785,jamo fetch filtered spid 1048028 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AAAGCA.anqdp.fastq.gz,54bb6f8d0d8785565d473b6d
3300004065,3/21/15,1,2,Muzzi_PWC_D2,3300004065,57936,1048034,4628597,1094989272,669180,jamo fetch filtered spid 1048034 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AACAAA.anqdp.fastq.gz,54bb6b7f0d8785565d473b60
3300004020,2/23/15,1,2,rowns_TuleC_D2,3300004020,57726,1047911,1755982,566429535,356290,jamo fetch filtered spid 1047911 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/85/71/8571.1.104353.GGCTAC.anqdp.fastq.gz,54b83eb20d8785565d472905
3300005216,5/21/15,1,2,RushMan_CattailNLA_D2,3300005216,62348,1048037,5119178,908488325,691960,jamo fetch filtered spid 1048037 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AACTTG.anqdp.fastq.gz,54bb6b870d8785565d473b61
3300004063,3/21/15,1,2,RushMan_CattailNLB_D2,3300004063,57938,1048040,3699110,779117395,542285,jamo fetch filtered spid 1048040 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AAGACT.anqdp.fastq.gz,54bb6b920d8785565d473b62
3300004066,3/21/15,1,2,RushMan_CattailNLC_D2,3300004066,57939,1048043,4037180,788568303,596821,jamo fetch filtered spid 1048043 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AAGCGA.anqdp.fastq.gz,54bb6b9a0d8785565d473b63
3300004067,3/21/15,1,2,RushMan_ThreeSqA_D2,3300004067,57942,1048046,4548891,832626078,670495,jamo fetch filtered spid 1048046 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AAGGAC.anqdp.fastq.gz,54bb6ffa0d8785565d473b6e
3300004071,3/22/15,1,2,RushMan_ThreeSqB_D2,3300004071,57943,1048049,3972691,685808728,559789,jamo fetch filtered spid 1048049 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.AATAGG.anqdp.fastq.gz,54bb70330d8785565d473b6f
3300004061,3/20/15,1,2,RushMan_ThreeSqC_D2,3300004061,57940,1048052,2349515,405418658,343315,jamo fetch filtered spid 1048052 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.ACAAAC.anqdp.fastq.gz,54bb6ba40d8785565d473b64
3300004070,3/21/15,1,2,RushOxbow_ThreeSqA_D2,3300004070,57944,1048055,3751826,687085209,559230,jamo fetch filtered spid 1048055 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/41/8641.1.107191.ACATCT.anqdp.fastq.gz,54bb70650d8785565d473b70
3300004145,04/3/15,1,2,RushOxbow_ThreeSqB_D2,3300004145,57913,1048058,3616291,764831195,560349,jamo fetch filtered spid 1048058 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.ACCCAG.anqdp.fastq.gz,54bb8a2e0d8785565d473b93
3300004052,3/19/15,1,2,RushOxbow_ThreeSqC_D2,3300004052,57909,1048061,4875121,914804914,699315,jamo fetch filtered spid 1048061 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.ACCGGC.anqdp.fastq.gz,54bb85cb0d8785565d473b89
3300004050,3/19/15,1,2,RushSE_CattailNLA_D2,3300004050,57914,1048064,3964594,740316716,560704,jamo fetch filtered spid 1048064 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.ACGATA.anqdp.fastq.gz,54bb8a3a0d8785565d473b94
3300004051,3/19/15,1,2,RushSE_CattailNLB_D2,3300004051,57910,1048067,3799567,695676223,536040,jamo fetch filtered spid 1048067 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.ACTCTC.anqdp.fastq.gz,54bb85d80d8785565d473b8a
3300004049,3/19/15,1,2,RushSE_CattailNLC_D2,3300004049,57911,1048070,3350500,561565482,460493,jamo fetch filtered spid 1048070 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.AGAAGA.anqdp.fastq.gz,54bb85e20d8785565d473b8b
3300004048,3/19/15,1,2,RushSE_TuleA_D2,3300004048,57912,1048073,3226609,545380819,448996,jamo fetch filtered spid 1048073 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.AGATAG.anqdp.fastq.gz,54bb85eb0d8785565d473b8c
3300004146,04/3/15,1,2,RushSE_TuleB_D2,3300004146,57915,1048076,3658210,653422062,525734,jamo fetch filtered spid 1048076 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.AGCATC.anqdp.fastq.gz,54bb8a480d8785565d473b95
3300004057,3/20/15,1,2,RushSE_TuleC_D2,3300004057,57916,1048079,3860706,717491296,549934,jamo fetch filtered spid 1048079 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.AGCGCT.anqdp.fastq.gz,54bb8a540d8785565d473b96
3300004062,3/21/15,1,2,Sandmound_ThreeSqA_D2,3300004062,57918,1048091,3093399,550286534,453888,jamo fetch filtered spid 1048091 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.ATCTAT.anqdp.fastq.gz,54bb8a700d8785565d473b98
3300004058,3/20/15,1,2,Sandmound_ThreeSqB_D1,3300004058,57917,1048085,3947347,615862954,539860,jamo fetch filtered spid 1048085 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.ATACGG.anqdp.fastq.gz,54bb8a630d8785565d473b97
3300005206,5/21/15,1,2,Sandmound_ThreeSqB_D2,3300005206,62349,1048094,3471463,505169782,433566,jamo fetch filtered spid 1048094 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.CCACGC.anqdp.fastq.gz,54bb6dd30d8785565d473b67
3300004047,3/19/15,1,2,Sandmound_ThreeSqC_D1,3300004047,57908,1048088,3481865,530897678,470665,jamo fetch filtered spid 1048088 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/42/8642.1.107203.ATCCTA.anqdp.fastq.gz,54bb82e60d8785565d473b82
3300005218,5/21/15,1,2,Sandmound_ThreeSqC_D2,3300005218,62350,1048097,6723656,1013134411,880419,jamo fetch filtered spid 1048097 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.CCCATG.anqdp.fastq.gz,54bb6b250d8785565d473b56
3300005204,5/21/15,1,2,Sandmound_TuleA_D2,3300005204,62351,1048100,3173860,506502221,439015,jamo fetch filtered spid 1048100 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.CCGCAA.anqdp.fastq.gz,54bb6e330d8785565d473b68
3300005213,5/21/15,1,2,Sandmound_TuleB_D2,3300005213,62352,1048103,3869174,584986559,504643,jamo fetch filtered spid 1048103 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.CCTTAG.anqdp.fastq.gz,54bb74e00d8785565d473b71
3300005205,5/21/15,1,2,Sandmound_TuleC_D2,3300005205,62353,1048106,3206464,458798746,403540,jamo fetch filtered spid 1048106 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.CGAGAA.anqdp.fastq.gz,54bb74e90d8785565d473b72
3300005182,5/19/15,1,2,Tolay_CordA_D2,3300005182,62354,1048109,3372427,628657804,458265,jamo fetch filtered spid 1048109 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.CTGCTG.anqdp.fastq.gz,54bb6e700d8785565d473b69
3300005215,5/21/15,1,2,Tolay_CordB_D2,3300005215,62355,1048112,4138152,726812842,527413,jamo fetch filtered spid 1048112 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.GAAACC.anqdp.fastq.gz,54bb74f30d8785565d473b73
3300005214,5/21/15,1,2,Tolay_CordC_D2,3300005214,62356,1048115,4000196,693494419,512806,jamo fetch filtered spid 1048115 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.GAATAA.anqdp.fastq.gz,54bb6ea30d8785565d473b6a
3300005208,5/21/15,1,2,WestPond_CattailA_D2,3300005208,62357,1048118,2723567,427312518,354074,jamo fetch filtered spid 1048118 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.GACGGA.anqdp.fastq.gz,54bb66c60d8785565d473b4e
3300005219,5/22/15,1,2,WestPond_CattailB_D2,3300005219,62358,1048121,7137091,1262966923,994367,jamo fetch filtered spid 1048121 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.GATATA.anqdp.fastq.gz,54bb74fd0d8785565d473b74
3300005217,5/21/15,1,2,WestPond_CattailC_D2,3300005217,62359,1048124,6257892,1075822457,870806,jamo fetch filtered spid 1048124 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/43/8643.1.107167.GATGCT.anqdp.fastq.gz,54bb75080d8785565d473b75
3300004072,3/22/15,1,2,WestPond_TuleA_D2,3300004072,57966,1048127,3753782,627889209,509699,jamo fetch filtered spid 1048127 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.GCAAGG.anqdp.fastq.gz,54bb6b2e0d8785565d473b57
3300004078,3/23/15,1,2,WestPond_TuleB_D2,3300004078,57973,1048130,5026158,907368900,692302,jamo fetch filtered spid 1048130 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.GCACTT.anqdp.fastq.gz,54bb6ed50d8785565d473b6b
3300004079,3/26/15,1,2,WestPond_TuleC_D2,3300004079,57975,1048133,6024084,1076930654,871336,jamo fetch filtered spid 1048133 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.GCCTTA.anqdp.fastq.gz,54bb75110d8785565d473b76
3300004147,04/3/15,1,2,White_CordA_D2,3300004147,57967,1048136,4086782,772096454,550808,jamo fetch filtered spid 1048136 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.GCTCCA.anqdp.fastq.gz,54bb6b360d8785565d473b58
3300004073,3/22/15,1,2,White_CordB_D2,3300004073,57965,1048139,3167367,561339040,416054,jamo fetch filtered spid 1048139 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.GGCACA.anqdp.fastq.gz,54bb66ce0d8785565d473b4f
3300004074,3/23/15,1,2,White_ThreeSqA_D1,3300004074,57968,1048145,3467998,655948080,478950,jamo fetch filtered spid 1048145 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.TGAATG.anqdp.fastq.gz,54bb6b3f0d8785565d473b59
3300004148,04/3/15,1,2,White_ThreeSqA_D2,3300004148,57974,1048154,4946308,911556226,675873,jamo fetch filtered spid 1048154 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.TGGCGC.anqdp.fastq.gz,54bb6f1d0d8785565d473b6c
3300004075,3/23/15,1,2,White_ThreeSqB_D1,3300004075,57969,1048148,4661328,826492866,647462,jamo fetch filtered spid 1048148 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.TGCCAT.anqdp.fastq.gz,54bb6b480d8785565d473b5a
3300004076,3/23/15,1,2,White_ThreeSqB_D2,3300004076,57971,1048157,3410081,599849526,446920,jamo fetch filtered spid 1048157 >> jamo_fetch_recored.txt,/global/dna/dm_archive/rqc/filtered_seq_unit/00/00/86/40/8640.1.107179.TTCGAA.anqdp.fastq.gz,54bb6b570d8785565d473b5c
